class,file,name
0,data/train/95d6440c.jpg,w_8867074
0,data/train/118a256c.jpg,w_8867074
0,data/train/1ebd8ea1.jpg,w_8867074
0,data/train/5114596e.jpg,w_8867074
0,data/train/e7088102.jpg,w_8867074
0,data/train/7c9d367e.jpg,w_8867074
0,data/train/503b542b.jpg,w_8867074
1,data/train/ed3dfa85.jpg,w_fe49bc4
1,data/train/513a6bb7.jpg,w_fe49bc4
1,data/train/471cc7c1.jpg,w_fe49bc4
1,data/train/5ac32658.jpg,w_fe49bc4
1,data/train/4c0e858c.jpg,w_fe49bc4
1,data/train/e3cf95bf.jpg,w_fe49bc4
1,data/train/930707a4.jpg,w_fe49bc4
1,data/train/bdf0a857.jpg,w_fe49bc4
1,data/train/cf0ae32e.jpg,w_fe49bc4
2,data/train/d5d85a6b.jpg,w_0beef28
2,data/train/def1b8b3.jpg,w_0beef28
2,data/train/7e6c5122.jpg,w_0beef28
2,data/train/40906ec9.jpg,w_0beef28
2,data/train/3f9916de.jpg,w_0beef28
2,data/train/b9657d72.jpg,w_0beef28
2,data/train/da8eec1a.jpg,w_0beef28
3,data/train/70f837d6.jpg,w_a526492
3,data/train/bc768e7d.jpg,w_a526492
3,data/train/07c94f4a.jpg,w_a526492
4,data/train/58c4525e.jpg,w_540fd73
4,data/train/a7929dde.jpg,w_540fd73
4,data/train/41e899a8.jpg,w_540fd73
4,data/train/e1134835.jpg,w_540fd73
4,data/train/d9b7f817.jpg,w_540fd73
4,data/train/2f0c9b74.jpg,w_540fd73
4,data/train/1cb43810.jpg,w_540fd73
4,data/train/b81ea4f2.jpg,w_540fd73
4,data/train/a59f4248.jpg,w_540fd73
4,data/train/74bb881c.jpg,w_540fd73
4,data/train/bed60aa6.jpg,w_540fd73
5,data/train/19ff6ba0.jpg,w_837646b
5,data/train/c430a3bb.jpg,w_837646b
5,data/train/e71a9d7d.jpg,w_837646b
5,data/train/69296ca6.jpg,w_837646b
6,data/train/435629c1.jpg,w_d3ce445
6,data/train/1b5f7f86.jpg,w_d3ce445
6,data/train/cb40b4fb.jpg,w_d3ce445
7,data/train/00eab0e6.jpg,w_886257d
7,data/train/5596e225.jpg,w_886257d
7,data/train/a26f9dbd.jpg,w_886257d
7,data/train/ea916c35.jpg,w_886257d
8,data/train/df6e8459.jpg,w_7763134
8,data/train/5871e557.jpg,w_7763134
8,data/train/5b51fb6b.jpg,w_7763134
8,data/train/16456265.jpg,w_7763134
8,data/train/d034eb40.jpg,w_7763134
8,data/train/238ae4f1.jpg,w_7763134
9,data/train/5f207948.jpg,w_a21cc97
9,data/train/0c6542fe.jpg,w_a21cc97
9,data/train/6d5e2850.jpg,w_a21cc97
9,data/train/0c6c9b3c.jpg,w_a21cc97
10,data/train/c28e7910.jpg,w_98baff9
10,data/train/06f3adae.jpg,w_98baff9
10,data/train/5d9fece1.jpg,w_98baff9
10,data/train/bd699c43.jpg,w_98baff9
10,data/train/1f9081d6.jpg,w_98baff9
10,data/train/49a20cb8.jpg,w_98baff9
10,data/train/ee3e0557.jpg,w_98baff9
10,data/train/2f45cc3f.jpg,w_98baff9
10,data/train/248dd355.jpg,w_98baff9
10,data/train/830efd45.jpg,w_98baff9
10,data/train/c0838719.jpg,w_98baff9
